imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote
tt0017925,8.1,78769,8.0,8.0
tt0017928,6.7,162,6.8,7.0
tt0017998,7.1,237,7.4,7.0
tt0018016,6.4,185,6.7,7.0
tt0018037,6.5,8866,6.8,7.0
tt0018051,7.6,3747,7.5,8.0
tt0018054,7.2,1890,7.4,8.0
tt0018102,6.3,431,6.5,7.0
tt0018138,5.9,356,7.8,8.0
tt0018166,6.7,390,7.0,7.0
tt0018179,6.4,525,6.7,7.0
tt0018183,7.4,787,7.6,8.0
tt0018218,6.4,316,6.5,7.0
tt0018235,6.8,119,7.0,7.0
tt0018253,5.8,468,7.6,8.0
tt0018311,6.6,1342,8.0,9.0
tt0018351,7.0,188,7.1,7.0
tt0018379,7.6,3098,7.6,8.0
tt0018392,7.1,352,7.2,7.0
tt0018397,6.9,498,7.0,7.0
tt0018413,4.0,481,7.8,8.0
tt0018440,6.0,884,7.7,9.0
tt0018451,7.6,1335,7.8,8.0
tt0018455,8.1,46069,7.9,8.0
tt0018464,5.5,126,5.4,5.0
tt0018471,6.9,1422,7.9,8.0
tt0018484,6.1,105,6.7,7.0
tt0018487,5.8,465,8.0,8.0
tt0018513,5.2,551,7.7,9.0
tt0018515,6.7,888,6.8,7.0
tt0018524,6.7,379,6.9,7.0
tt0018526,7.6,2545,7.5,8.0
tt0018528,7.8,6992,7.6,8.0
tt0018530,6.2,248,6.3,6.0
tt0018566,6.8,308,7.2,7.0
tt0018578,7.5,11139,7.7,8.0
tt0018579,3.1,105,3.2,1.0
tt0018618,6.0,948,7.3,7.0
tt0018678,6.5,395,6.7,7.0
tt0018684,7.5,945,7.7,8.0
tt0018742,8.1,10101,8.1,8.0
tt0018749,6.2,810,8.1,9.0
tt0018756,5.6,1968,5.7,6.0
tt0018773,8.1,27414,7.9,8.0
tt0018795,6.5,614,7.8,8.0
tt0018839,7.5,3860,7.6,8.0
tt0018876,5.9,2434,6.1,6.0
tt0018907,6.3,134,7.1,7.5
tt0018908,6.9,261,7.1,7.0
tt0018909,7.1,623,7.1,7.0
tt0018927,6.8,341,7.0,7.0
tt0018996,6.0,116,6.2,6.0
tt0019067,6.9,402,7.1,7.0
tt0019071,8.0,3282,7.8,8.0
tt0019096,5.7,735,7.1,7.0
tt0019109,7.8,1982,7.9,8.0
tt0019130,7.7,5711,7.7,8.0
tt0019151,6.8,510,6.9,7.0
tt0019152,6.8,343,6.9,7.0
tt0019186,6.5,176,6.7,7.0
tt0019195,7.2,1151,7.3,7.0
tt0019237,6.7,1501,7.3,7.0
tt0019258,7.5,2330,8.1,8.0
tt0019290,6.4,228,6.5,7.0
tt0019304,6.7,1099,6.9,7.0
tt0019335,3.5,123,3.3,1.0
tt0019388,6.2,206,6.5,7.0
tt0019400,6.2,976,7.9,8.0
tt0019412,7.7,3178,7.7,8.0
tt0019421,7.9,12809,7.9,8.0
tt0019434,6.1,239,7.3,8.0
tt0019451,6.8,347,7.0,7.0
tt0019462,6.0,227,7.2,8.0
tt0019489,6.9,353,7.0,7.0
tt0019509,7.3,413,7.4,7.0
tt0019532,6.6,346,6.7,7.0
tt0019557,6.1,376,6.7,6.0
tt0019558,7.5,1508,7.4,8.0
tt0019563,7.2,1582,7.3,7.0
tt0019571,6.3,151,7.3,7.0
tt0019574,6.9,756,7.0,7.0
tt0019585,8.0,5980,8.1,8.0
tt0019591,7.2,1355,7.6,8.0
tt0019630,5.8,661,6.0,6.0
tt0019644,7.0,1266,7.3,7.0
tt0019658,5.5,187,5.7,6.0
tt0019684,4.9,386,5.0,5.0
tt0019690,5.4,203,5.7,6.0
tt0019699,5.6,258,6.0,6.0
tt0019702,7.0,9412,7.0,7.0
tt0019725,6.2,339,6.9,7.0
tt0019726,6.4,119,6.8,7.0
tt0019729,5.7,6327,6.3,6.0
tt0019735,6.4,839,6.6,7.0
tt0019745,6.0,539,6.3,6.0
tt0019777,7.0,6900,7.2,7.0
tt0019785,6.4,332,6.4,6.0
tt0019788,5.8,1983,7.1,7.0
tt0019798,6.5,261,7.6,8.0
tt0019800,5.9,110,6.2,6.0
tt0019811,6.5,1074,8.1,9.0
tt0019815,6.1,104,6.7,6.5
tt0019823,6.2,1034,6.4,6.0
tt0019824,6.2,651,6.3,6.0
tt0019843,7.0,382,7.2,7.0
tt0019852,6.8,445,7.0,7.0
tt0019856,6.6,132,7.1,7.0
tt0019884,5.9,255,6.1,6.0
tt0019886,6.6,232,6.8,7.0
tt0019889,6.0,106,6.3,6.0
tt0019929,5.2,115,6.9,7.0
tt0019933,5.8,621,7.3,8.0
tt0019935,7.2,687,7.3,7.0
tt0019936,6.7,143,7.3,7.0
tt0019945,5.2,117,5.6,6.0
tt0019946,6.1,694,6.4,6.0
tt0019949,6.6,285,6.9,7.0
tt0019957,5.8,112,5.8,6.0
tt0019959,6.8,1521,6.9,7.0
tt0019976,7.2,520,7.2,7.0
tt0019979,5.1,117,5.3,5.0
tt0019983,5.3,289,5.4,5.0
tt0019992,5.8,134,6.0,6.0
tt0019993,5.9,1827,7.5,8.0
tt0020004,6.6,310,6.8,7.0
tt0020014,5.9,118,6.2,6.0
tt0020018,5.5,898,5.7,6.0
tt0020025,7.0,178,7.1,7.0
tt0020030,7.0,1139,7.4,7.0
tt0020034,6.1,269,8.3,10.0
tt0020062,6.9,938,7.0,7.0
tt0020078,6.7,317,6.8,7.0
tt0020080,6.7,441,7.1,7.0
tt0020081,6.1,381,6.2,6.0
tt0020092,6.7,619,6.8,7.0
tt0020099,6.8,100,7.0,7.0
tt0020103,6.0,429,6.2,6.0
tt0020112,7.1,1924,7.2,7.0
tt0020114,6.5,169,6.8,7.0
tt0020122,7.8,1144,7.8,8.0
tt0020126,6.0,431,6.1,6.0
tt0020142,6.2,2555,6.4,6.0
tt0020143,6.2,1148,8.2,9.0
tt0020144,5.6,385,8.0,8.0
tt0020166,5.7,151,5.9,6.0
tt0020197,6.7,187,6.9,7.0
tt0020198,6.1,562,6.2,6.0
tt0020210,5.2,528,7.7,8.0
tt0020217,5.7,169,6.3,6.0
tt0020223,6.5,656,6.7,7.0
tt0020238,5.8,259,6.3,6.0
tt0020247,6.0,603,6.0,6.0
tt0020253,6.9,315,7.1,7.0
tt0020269,7.1,1353,7.2,7.0
tt0020286,6.5,710,6.6,7.0
tt0020305,5.5,353,5.5,6.0
tt0020320,6.8,157,7.0,7.0
tt0020332,6.1,691,7.8,8.0
tt0020335,7.2,524,7.4,7.0
tt0020336,6.0,204,6.6,6.0
tt0020358,6.1,304,6.5,6.0
tt0020359,5.5,156,5.5,5.0
tt0020364,6.0,191,6.3,6.0
tt0020388,6.1,267,6.3,6.0
tt0020392,6.3,116,6.5,6.0
tt0020402,6.1,245,6.4,6.0
tt0020403,5.8,367,6.4,6.0
tt0020405,6.9,183,6.9,7.0
tt0020410,6.7,489,6.9,7.0
tt0020425,5.5,200,5.7,5.0
tt0020442,7.0,1811,7.2,7.0
tt0020446,4.9,328,4.8,5.0
tt0020458,6.1,337,7.2,7.0
tt0020461,5.7,115,5.9,6.0
tt0020466,6.5,358,7.0,7.0
tt0020479,6.3,511,7.0,7.0
tt0020480,5.6,135,5.8,6.0
tt0020488,5.9,559,6.0,6.0
tt0020490,5.8,143,6.1,6.0
tt0020492,5.9,522,5.9,6.0
tt0020499,6.6,501,6.8,7.0
tt0020502,6.4,170,6.3,6.0
tt0020514,6.6,1232,7.8,8.0
tt0020516,6.1,105,7.1,8.0
tt0020534,5.8,197,6.0,6.0
tt0020538,5.1,475,5.4,5.0
tt0020542,5.3,198,5.4,5.0
tt0020543,6.0,315,6.5,6.0
tt0020556,6.8,661,7.0,7.0
tt0020572,6.0,669,6.3,6.0
tt0020581,6.6,487,6.8,7.0
tt0020585,7.2,359,7.2,7.0
tt0020589,6.6,578,6.8,7.0
tt0020590,6.4,408,6.6,6.5
tt0020613,6.3,263,6.5,6.0
tt0020620,5.7,1308,5.9,6.0
